product_key,product_name,category,subcategory,cost,last_sale_date,recency,product_segment,total_orders,total_sales,total_quantity,total_customers,avg_selling_price,average_order_revenue,average_monthly_revenue
3,Mountain-100 Black- 38,Bikes,Mountain Bikes,1898,2011-12-27,159,High Performer,49,165375,49,49,3375,3375,15034.09
4,Mountain-100 Black- 42,Bikes,Mountain Bikes,1898,2011-12-27,159,High Performer,45,151875,45,45,3375,3375,13806.82
5,Mountain-100 Black- 44,Bikes,Mountain Bikes,1898,2011-12-21,159,High Performer,60,202500,60,60,3375,3375,18409.09
6,Mountain-100 Black- 48,Bikes,Mountain Bikes,1898,2011-12-26,159,High Performer,57,192375,57,57,3375,3375,16031.25
7,Mountain-100 Silver- 38,Bikes,Mountain Bikes,1912,2011-12-22,159,High Performer,58,197200,58,58,3400,3400,16433.330000000002
8,Mountain-100 Silver- 42,Bikes,Mountain Bikes,1912,2011-12-28,159,High Performer,42,142800,42,42,3400,3400,12981.82
9,Mountain-100 Silver- 44,Bikes,Mountain Bikes,1912,2011-12-12,159,High Performer,49,166600,49,49,3400,3400,13883.33
10,Mountain-100 Silver- 48,Bikes,Mountain Bikes,1912,2011-12-23,159,High Performer,36,122400,36,36,3400,3400,11127.27
16,Road-150 Red- 44,Bikes,Road Bikes,2171,2011-12-28,159,High Performer,281,1005418,281,281,3578,3578,83784.830000000002
17,Road-150 Red- 48,Bikes,Road Bikes,2171,2011-12-28,159,High Performer,337,1205786,337,337,3578,3578,100482.17
18,Road-150 Red- 52,Bikes,Road Bikes,2171,2011-12-27,159,High Performer,302,1080556,302,302,3578,3578,90046.330000000002
19,Road-150 Red- 56,Bikes,Road Bikes,2171,2011-12-27,159,High Performer,295,1055510,295,295,3578,3578,87959.169999999998
20,Road-150 Red- 62,Bikes,Road Bikes,2171,2011-12-28,159,High Performer,336,1202208,336,336,3578,3578,100184
36,Road-650 Black- 44,Bikes,Road Bikes,487,2012-12-26,147,Mid Performer,63,47565,63,63,755,755,2068.04
